item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word1,is packing,neutral,he,nocontext,,1,bag,he,he is packing the,is packing,the,bag,Is,packing,he is packing the bag,Is he packing the bag?,1,Yes,No,0,0,true,10
2,nonword,is fillibg,neutral,he,context2,"on the train, ",1,form,"on the train, he","on the train, he is fillibg the",is fillibg,the,form,Is,filling,"on the train, he is fillibg the form",Is he filling the form?,1,Yes,No,0,0,true,12
3,word1,kicked,subject1,the soccer player,context1,"on the playground, ",1,ball,"on the playground, the soccer player","on the playground, the soccer player kicked the",kicked,the,ball,Did,kick,"on the playground, the soccer player kicked the ball",Did the soccer player kick the ball?,1,Yes,No,0,0,true,1
4,nonword,rkdes,subject2,the spy,nocontext,,1,bike,the spy,the spy rkdes a,rkdes,a,bike,Does,ride,the spy rkdes a bike,Does the spy ride a bike?,1,Yes,No,0,0,true,14
5,nonword,is revding,subject1,the bookworm,context1,"in the library, ",1,book,"in the library, the bookworm","in the library, the bookworm is revding the",is revding,the,book,Is,reading,"in the library, the bookworm is revding the book",Is the bookworm reading the book?,1,Yes,No,0,0,true,6
6,word1,will bear,subject2,the athlete,nocontext,,1,responsibility,the athlete,the athlete will bear the,will bear,the,responsibility,Will,bear,the athlete will bear the responsibility,Will the athlete bear the responsibility?,1,Yes,No,0,0,true,9
7,word2_control,experiences,subject1,the fruit seller,context2,"in the waiting line, ",1,orange,"in the waiting line, the fruit seller","in the waiting line, the fruit seller experiences an",experiences,an,orange,Does,peel,"in the waiting line, the fruit seller experiences an orange",Does the fruit seller peel an orange?,1,Yes,No,0,0,true,3
8,word2_control,is cooking,subject2,the baker,context1,"in the film studio, ",1,photo,"in the film studio, the baker","in the film studio, the baker is cooking a",is cooking,a,photo,Is,taking,"in the film studio, the baker is cooking a photo",Is the baker taking a photo?,1,Yes,No,0,0,true,2
9,word2,polls,subject2,the host,nocontext,,1,door,the host,the host polls the,polls,the,door,Does,pull,the host polls the door,Does the host pull the door?,1,Yes,No,0,0,true,15
10,word2_control,pressed,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he pressed the",pressed,the,song,Did,sing,"on the stage in the tavern, he pressed the song",Did he sing the song?,1,Yes,No,0,0,true,5
11,random,jiasodhuos,neutral,he,context2,"at the post office, ",1,person,"at the post office, he","at the post office, he jiasodhuos the",jiasodhuos,the,person,Does,save,"at the post office, he jiasodhuos the person",Does he save the person?,1,Yes,No,0,0,true,8
12,random,jubkls,subject1,the tenant,context1,"outside the apartment entrance, ",1,key,"outside the apartment entrance, the tenant","outside the apartment entrance, the tenant jubkls the",jubkls,the,key,Does,turn,"outside the apartment entrance, the tenant jubkls the key",Does the tenant turn the key?,1,Yes,No,0,0,true,11
13,random,ajifoased,subject1,the student,nocontext,,1,note,the student,the student ajifoased a,ajifoased,a,note,Did,slip,the student ajifoased a note,Did the student slip a note?,1,Yes,No,0,0,true,13
14,word2,bent,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he bent his",bent,his,letter,Did,send,"in the dance studio, he bent his letter",Did he send his letter?,1,Yes,No,0,0,true,4
15,word2,folds,subject2,the artist,context2,"in an art class, ",1,meeting,"in an art class, the artist","in an art class, the artist folds a",folds,a,meeting,Does,hold,"in an art class, the artist folds a meeting",Does the artist hold a meeting?,1,Yes,No,0,0,true,7
